Service ID,Service,Organisation(s),Location(s),Service Type,Free,URL,Timing notes,OnePlanet Cats,Audience Cats,Use Cases,Basic type,Homeless Only,Disability Only,Children/Parents Only,Members Only,Referrals Only,Description
SRV060,Rethink Carers Support Group,Rethink Mental Illness,The Captains Table Cafe,Regular event,TRUE,https://www.rethink.org/help-in-your-area/support-groups/folkestone-rethink-carers-support-group/,Last Tuesday of the month,Emotional wellbeing,All adults,direct-support,Support service,FALSE,FALSE,FALSE,FALSE,FALSE,We aim to offer a supportive environment to carers as well as some people living with mental illness. We offer a relaxed and friendly space where people can share their problems and learn about organisations and support services that may be able to help them.
SRV061,IPS Employment Services,Rethink Mental Illness,,Permanent fixture,TRUE,https://rethink.org/media/bddj5dt3/east-kent-ips-employment-service-leaflet-sept-24.pdf,Book a time,Employment access,All adults,direct-support,Support service,FALSE,FALSE,FALSE,FALSE,FALSE,"Individual Placement & Support (IPS) employment support helps people with any kind of mental illness to find and sustain paid employment. We do not provide support ro access volunteering or training.

The support is rapid with job searching starting within four weeks, even if a person has been off work for years.

This is individualised, person-centred, trauma-informed and time unlimited."
SRV062,Live Well Kent & Medway,Porchlight;Shaw Trust;NHS;Kent County Council,,Permanent fixture,TRUE,https://livewellkent.org.uk/,Book a time,"Emotional wellbeing, Employment access, Safe & comfortable housing for all",All adults,direct-support,Support service,FALSE,FALSE,FALSE,FALSE,FALSE,"Are your feelings or worries affecting your health, relationships, work or day-to-day life? You’re not alone. Thousands of people in the UK experience mental health issues each year.

If you’re aged 17+ and live in Kent or Medway, our network of voluntary organisations and charities can help you:

- Better manage your mental health and general wellbeing
- Gain confidence and meet new people
- Get advice for money, debt or benefit-related issues
- Get support for housing concerns
- Access free therapy and counselling-type services
- Find work, volunteering and education opportunities
- Join local activities and support groups run by people with similar experiences."
SRV063,BeYou LGBTQ+ Support Meet Ups,Porchlight;NHS,,Regular event,TRUE,https://thebeyouproject.co.uk/meets/,Contact organisation for details,"Emotional wellbeing, Community development",Teenagers,"direct-support, safe-space",Support service,FALSE,FALSE,TRUE,FALSE,FALSE,"If you identify as a young LGBTQ+ person we have a range of support you can access.

Our meet-ups are safe spaces for young people who are LGBTQ+ or think they might be LGBTQ+.

You can meet new people who share some of the same feelings and experiences as you, socialise, and talk in a safe and non-judgemental setting.

It’s also a great way to meet the BeYou team who can give you additional support if you need it.

Meet-ups are held weekly. Some take place in person, others are online."
SRV064,BeYou LGBTQ+ 1-to-1 Support,Porchlight;NHS,,Permanent fixture,TRUE,https://thebeyouproject.co.uk/get-help/,Book a time,Emotional wellbeing,Teenagers,direct-support,Support service,FALSE,FALSE,TRUE,FALSE,FALSE,"If you identify as a young LGBTQ+ person we have a range of support you can access.

Everyone, at times, can find things a little challenging and difficult to manage. You may want to chat with an experienced LGBTQ+ youth support worker.

Sessions are between 30 mins to 1 hour, we do what works for you. They may take place at a youth centre, online or in the community."
SRV065,Folkestone Womens Forum,Folkestone Womens Forum,,Regular event,TRUE,https://folkestonewomensforum.com/folkestone-womens-forum,Contact organisation for details,Community development,All adults,"meet-people, get-involved",Tea & talk,FALSE,FALSE,FALSE,FALSE,FALSE,"Folkestone Women’s Forum is a feminist organization with community, collaboration, and connection at its core. We hold discussions of our interests, work, passions, and experiences. We also support and publicize other events under the FWF umbrella – meet-ups, book discussions, walks, games nights, meals – and encourage you to get involved in organizing these."
SRV066,DadSpace Mental Health Support Group,DadSpace,,Regular event,TRUE,https://www.dadspace.co.uk/dadspace-folkestone,Check org sites for upcoming dates,"Emotional wellbeing, Community development",All adults,"direct-support, meet-people",Support service,FALSE,FALSE,TRUE,FALSE,FALSE,"To provide a safe space for dads to talk, listen and share their experiences of fatherhood."
SRV067,Hythe Electrical Recycling,Hythe Environmental Community Group;The Parish of St Leonards,The Open Door Project,Regular event,TRUE,https://www.facebook.com/groups/1403528403025955,9:30am - 1pm Every Saturday,Zero waste,All,reduce-waste,Community services,FALSE,FALSE,FALSE,FALSE,FALSE,"Hythe ECG in conjunction with “The Open Door Project” is creating a local E-Waste drop off point at 101 Hythe High Street (Launching on 10th December 2022) and hopes to encourage people to bring their small waste electricals into town when they are shopping rather than dropping it in their domestic waste bin. The Drop Off will be manned by volunteers who can also advise on general recycling, promote the work of the Hythe Environmental Group and oversee the Drop Off."
SRV068,Hythe Community Hop Farm,Hythe Environmental Community Group;Grow Beer,,Permanent fixture,TRUE,https://www.facebook.com/groups/4599005866838158,Contact organisation for details,Local sustainable & healthy food,All adults,"new-hobbies, locally-grown",Nature & garden,FALSE,FALSE,FALSE,FALSE,FALSE,"Hythe Hops community hop garden is part of the national Grow Beer movement, We are a voluntary, non-profit group; our members grow hops in their back gardens, allotments, gardens, community gardens and also public spaces."
SRV069,Apple Pressing,Hythe Environmental Community Group,,Seasonal event,TRUE,https://www.facebook.com/groups/1403528403025955,Check org sites for upcoming dates,Local sustainable & healthy food,All,"free-activities, new-hobbies",Nature & garden,FALSE,FALSE,FALSE,FALSE,FALSE,"The group has owned a community fruit press and fruit crusher for a number of years, and have held a number of popular  community apple pressing events held every Autumn in Hythe High Street. The events are a big hit with families as combined fun and education."
SRV070,Plant and Seed Swap,Hythe Environmental Community Group,,Regular event,TRUE,https://www.facebook.com/groups/1403528403025955,Check org sites for upcoming dates,"Local sustainable & healthy food, Festivals and events",All,"locally-grown, meet-people",Nature & garden,FALSE,FALSE,FALSE,FALSE,FALSE,"For many years now we have held a number of events each year (Spring and Autumn, usually) to allow our community (gardeners, allotment holders, anybody) to swap surplus seeds, plants and produce.

These are always held in the Hythe town centre – either under the Town Hall, or on Town Square (on the High Street side of Aldi)"
SRV071,Hythe Community Litter Pick,Hythe Environmental Community Group,,Regular event,TRUE,https://www.facebook.com/groups/1403528403025955,10am - 11:30am Every 1st Saturday of the month,Nourishing land & nature,All,get-outside,Community service,FALSE,FALSE,FALSE,FALSE,FALSE,This Group has a very active band of Litter Pickers in and around Hythe who usually meet on the 1st Saturday of the month.(see “Events” Calendar and our FB Page).
SRV072,Hythe Gleaning Group,Hythe Environmental Community Group,,Seasonal event,TRUE,https://www.facebook.com/groups/1403528403025955,Check org sites for upcoming dates,No food poverty,All,"get-involved, locally-grown, get-outside",Nature & garden,FALSE,FALSE,FALSE,FALSE,FALSE,There are many things that upset us at HECG and one is FOOD WASTE. Gleaning is the act of collecting leftover crops from farmers’ fields after they have been commercially harvested or on fields where it is not economically profitable to harvest.
SRV073,Folkestone Pride Sunday Social,Pride Folkestone,,Regular event,TRUE,https://www.folkestonepride.org/event-details/sunday-social-2026-01-25-14-30,,Community development,All adults,meet-people,Tea & talk,FALSE,FALSE,FALSE,FALSE,FALSE,"Drop in for a friendly LGBTQ+ meetup, enjoy a complimentary hot drink, and connect with new people in a welcoming space."
SRV074,U3A Coffee Mornings - Hythe,Shepway & District U3A,Tin Tabernacle,Regular event,TRUE,https://shepway.u3asite.uk/,11am every 4th Friday of the month,Community development,All adults,meet-people,Tea & talk,FALSE,FALSE,FALSE,FALSE,FALSE,"We have regular monthly coffee mornings on the fourth Friday of the month currently at the Tin Tabernacle, Hythe starting at 11.00 am"
SRV075,U3A Coffee Mornings - Folkestone,Shepway & District U3A,The Clifton Hotel,Regular event,TRUE,https://shepway.u3asite.uk/,10:30am every 3rd Wednesday of the month,Community development,All adults,meet-people,Tea & talk,FALSE,FALSE,FALSE,FALSE,FALSE,"We have regular monthly coffee mornings on the third Wednesday in the month currently at the Clifton Hotel, the Leas, Folkestone, starting at 10.30 am"
SRV076,U3A Coffee Mornings - New Romney,Shepway & District U3A,Ship Hotel,Regular event,TRUE,https://shepway.u3asite.uk/,Quarterly,Community development,All adults,meet-people,Tea & talk,FALSE,FALSE,FALSE,FALSE,FALSE,"We have quarterly coffee mornings at the Ship Hotel, New Romney."
SRV077,Shepway Primary Singers,MASC,Wood Avenue Library,Regular event,TRUE,https://shepwaychoirs.co.uk/shepway-primary-singers/,4:30pm - 5:45pm Every Monday (term time only),"Creative Arts Practice, Community development",Young children,"free-activities, new-hobbies",Creative activities,FALSE,FALSE,TRUE,FALSE,FALSE,"A Community Choir for Children of Primary School Age from Shepway and surrounding area.

We are a choir for EVERYONE. Whether you are in the school choir, used to be, or have never ever sung in a group before, we welcome everyone. We believe that our welcoming attitude and open arms to all singers is what makes us stand out from the crowd. There are no auditions, just come along and enjoy!"
SRV078,Shepway Youth Voices,MASC,Wood Avenue Library,Regular event,TRUE,https://shepwaychoirs.co.uk/shepway-primary-singers/,6pm - 7:15pm Every Monday (term time only),"Creative Arts Practice, Community development",Teenagers,"free-activities, new-hobbies",Creative activities,FALSE,FALSE,TRUE,FALSE,FALSE,"A Community Choir for anyone of Secondary School Age from Shepway and surrounding area.

We are a choir for EVERYONE. Whether you are in the school choir, used to be, or have never ever sung in a group before, we welcome everyone. We believe that our welcoming attitude and open arms to all singers is what makes us stand out from the crowd. There are no auditions, just come along and enjoy!"
SRV079,Shepway Voices,MASC,Folkestone Baptist Church,Regular event,TRUE,https://shepwaychoirs.co.uk/shepway-primary-singers/,7:30pm - 9:30pm Every Wednesday,"Creative Arts Practice, Community development",All adults,"free-activities, new-hobbies",Creative activities,FALSE,FALSE,FALSE,FALSE,FALSE,"A Community Choir for Adults from Shepway and surrounding area.

We are a choir for EVERYONE. Whether you have been in a choir your whole life, or you have never sung in public before, we welcome everyone. We believe that our welcoming attitude and open arms to all singers is what makes us stand out from the crowd. You do not need to be able to read music, and there are no auditions, just come along and enjoy!"
SRV080,Storytime,The Folkestone Bookshop,The Folkestone Bookshop,Regular event,TRUE,https://www.thefolkestonebookshop.co.uk/events-calendar,11:30am - 12:30am Every Thursday,Festivals and events,Babies/toddlers & parents,free-activities,Community services,FALSE,FALSE,TRUE,FALSE,FALSE,"Free storytime with books suitable for babies to 4 years old, plus refreshments for the adults. Featuring occasional guest readers!"
SRV081,Co-writing Group,The Folkestone Bookshop,The Folkestone Bookshop,Regular event,TRUE,https://www.thefolkestonebookshop.co.uk/events-calendar,10am - 12pm Every Sunday,Creative Arts Practice,All,free-activities,Creative activities,FALSE,FALSE,FALSE,FALSE,FALSE,Free drop-in for anyone wanting to make space and time for themselves to write.
SRV082,Thursday Community Lunch,Folkestone Baptist Church,Folkestone Baptist Church,Regular event,TRUE,https://www.folkestonebaptistchurch.org/whatson.html,12pm Every Thursday,No food poverty,All,"save-money, meet-people, free-food",Food service,FALSE,FALSE,FALSE,FALSE,FALSE,Our very popular Community Lunch is served at 12 noon every Thursday. You can enjoy a hot meal freshly cooked by our team on a ‘pay what you can afford’ basis. We’d love to see you.
SRV083,Craft Club,Capel Baptist Church,Capel Baptist Church,Regular event,TRUE,,,Creative Arts Practice,All adults,"free-activities, meet-people",Creative activities,FALSE,FALSE,FALSE,FALSE,FALSE,"First Friday of each month 7.00-9.00pm, all welcome."
SRV084,Weekly Creative Workshops,Treat Me RIght CIC,D:NA,Regular event,TRUE,,10:30am - 12:30pm Every Thursday,Creative Arts Practice,Retired,free-activities,Learning,FALSE,FALSE,FALSE,FALSE,FALSE,"For women and non-binary people 50 and over. Develop ypur creativity, connect with others and make friends along the way."
SRV085,Thrive Business & Career Development Training,Treat Me Right CIC,,Permanent fixture,TRUE,,Coming soon,Employment access,All adults,direct-support,Learning,FALSE,FALSE,FALSE,FALSE,FALSE,
SRV086,Activities for Carers,Care Anchor Kent CIC,,Regular event,TRUE,https://www.facebook.com/CareAnchorKent/events,Check org sites for upcoming dates,Emotional wellbeing,All adults,free-activities,Support service,FALSE,FALSE,FALSE,FALSE,FALSE,"Care Anchor Kent run various activities and meet ups for carers across the Folkestone & Hythe district, including coffee mornings, soundbaths, live entertinment and more - keep up with upcoming dates on Facebook"
SRV087,The Mill Youth Club,South Kent Community Church,The Cornerstone Centre,Regular event,TRUE,https://www.skcc.info/themill,7pm - 8:30pm Every Friday (term time only),Community development,Teenagers,"free-activities, meet-people",Entertainment,FALSE,FALSE,TRUE,FALSE,FALSE,"The Mill is the name of our Youth Club that meets on Friday nights from 7.00 – 8.30 p.m. at The Cornerstone Centre in Folkestone, and is for school years 6 – 13."
SRV088,Cornerstone Drop In,South Kent Community Church,The Cornerstone Centre,Regular event,TRUE,https://www.skcc.info/CornerstoneDropIn,2:30pm - 4:30pm Every Monday & Wednesday,No food poverty,All,"save-money, safe-space",Food service,FALSE,FALSE,FALSE,FALSE,FALSE,"Drop In operates on Mondays and Wednesdays from 2.30 – 4.30 p.m. in the back hall of The Cornerstone Centre, supporting between 20-40 individuals each session. Our dedicated team of volunteers provides a warm, safe and friendly environment for people in our community who are experiencing poverty, social isolation, or homelessness."
SRV089,Christians Against Poverty,South Kent Community Church;Christians Against Poverty,The Cornerstone Centre,Permanent fixture,TRUE,https://www.skcc.info/CAP,Book a time,Safe & equitable place to live & work,All adults,"save-money, direct-support",Support service,FALSE,FALSE,FALSE,FALSE,FALSE,"CAP is a highly reputable and nationally recognised charity that provides practical, professional support to people struggling with debt. SKCC operates a CAP centre for the Shepway area. Under the leadership of Centre Manager Angela Burnett and a dedicated team of trained volunteers, the centre has supported many clients since opening in early 2007. Through CAP's structured debt-management process and ongoing support, clients have experienced significant positive change in their financial circumstances and overall wellbeing."
SRV090,Little Treasures Toddler Group,South Kent Community Church,The Cornerstone Centre,Regular event,TRUE,https://www.skcc.info/littletreasures,9:30am - 11:30am Every Monday,Community development,Babies/toddlers & parents,"free-activities, meet-people",Entertainment,FALSE,FALSE,TRUE,FALSE,FALSE,"Little Treasures Toddler Group runs on Monday mornings (during term time) from 9.30 - 11.30 a.m. at The Cornerstone Centre, Castle Hill Avenue, Folkestone.

There is tea & cake for the grown ups and lots of fun activities for the little ones. 

For further details of all children's activities and planned events please contact the church office on 01303 251155"
SRV091,Baby Basics Folkestone,Baby Basics,,Permanent fixture,TRUE,https://baby-basics.org.uk/centre/folkestone,Referral only,"No food poverty, Safe & equitable place to live & work",Babies/toddlers & parents,"save-money, direct-support",Support service,FALSE,FALSE,TRUE,FALSE,TRUE,"We work closely with over 20 referral agencies including midwives, health visitors, social workers, FHDC welfare and Housing teams as well as other organisations and charities to provide a safe and reliable service that people can trust.

We are open for donations each month.  Items we need are listed on our social media along with the place, date and time to drop off the donations. This list is updated regularly."
SRV092,Armed Forces Veterans Support Group,Folkestone Nepalese Community,Folkestone Nepalese Community Centre,Regular event,TRUE,https://fncuk.org/armed-forces-veterans-support-group/,10am - 12pm Every second Thursday of the month,"Community development, Safe & equitable place to live & work",All adults,direct-support,Support service,FALSE,FALSE,FALSE,FALSE,FALSE,"Since July 2021, the Folkestone Nepalese Community (FNC) Centre has partnered with Folkestone & Hythe District Council to host regular drop-in sessions. These sessions provide a welcoming space where community members can access advice, guidance, and support."
SRV093,Kent Food Hubs,Kent Food Hubs,Docker Brewery & Taproom,Regular event,FALSE,https://kentfoodhubs.ooooby.org/,3pm - 5pm Every Tuesday,Local sustainable & healthy food,All adults,"spend-local, locally-grown",Food service,FALSE,FALSE,FALSE,FALSE,FALSE,"Join the hub community today!

Kent Food Hubs CIC (Community Interest Company), was set up in January 2020 to provide a platform and a community co-operative for sustainable, ethical and environmentally friendly Growers,Traders, Producers within the Kent area."
SRV094,Evening Walk,Outdoor Folkey,The Leas Bandstand,Regular event,TRUE,https://outdoorfolkey.com/,6pm Every other Wednesday,"Physical wellbeing, Community development",All adults,"free-activities, meet-people, get-outside",Nature & garden,FALSE,FALSE,FALSE,FALSE,FALSE,"Join us Wednesday at 6pm for a relaxed after-work walk along the Leas and the coast.
We’ll meet by the Leas Cliff and stroll for about an hour — a perfect way to get fresh air and connect before the evening sets in.
✨ Everyone’s welcome"
SRV095,Community-Led Outdoor Activities,Outdoor Folkey,,Regular event,TRUE,https://outdoorfolkey.com/,Check org sites for upcoming dates,"Physical wellbeing, Community development",All adults,"free-activities, meet-people, get-outside",Nature & garden,FALSE,FALSE,FALSE,FALSE,FALSE,"Members of the community are encouraged to host their own outdoor activities, which Outdoor Folkey will promote and display on their website and social media. Check their channels for upcoming activities and dates."
SRV096,Hythe Community Bus Service,Kent County Council;Hythe Town Council;Hythe Rotary Club,,Direct support,FALSE,https://www.kent.gov.uk/roads-and-travel/travelling-around-kent/bus-travel/community-transport/set-up-a-community-transport-scheme/hythe-community-bus-service,Book a time,Travel and transport,All,direct-support,Transport,FALSE,FALSE,FALSE,FALSE,FALSE,"Any community group in the Hythe area can apply to hire one or both of the buses. The cost to hire the busses is charged per mile and includes insurance, repairs and replacement."
SRV097,Silent Book Club,Silent Book Club Folkestone,The Board Room,Regular event,TRUE,https://www.instagram.com/silentbookclubfolkes/?hl=en,6:30pm - 8:30pm Every 4th Monday of the month,Emotional wellbeing,All,"new-hobbies, meet-people",Book lovers,FALSE,FALSE,FALSE,FALSE,FALSE,"Bring your own book - no assigned reading. Read together at your own pace - 1 hour of focused, quiet reading time. Introvert-friendly social meetups - no small talk required."
